Comparison,FMeasure_gain,Event_F1_gain,Activation_saving,Energy_saving,Simulated_runtime_energy_saving,FPS_gain,P95_latency_gain,AE_Score_gain,Interpretation
ASMAG_TR_CONTROLLER vs P3_MOG2,0.007311255712789899,0.014866071264353686,0.03781057423961154,0.1420391743678593,0.04886931426082519,-9.556068828582603,5.405166014185454,0.0016205642273410814,Positive savings/gains mean the first pipeline improves over the comparison baseline.
ASMAG_TR_CONTROLLER_ONLINE_CALIBRATED vs P3_MOG2,-0.01478158580189115,0.008767063444948264,0.058591851117009375,0.23154603973828358,0.14661304687209142,-30.44962842823216,-36.77248999757586,-0.03367432515290503,Positive savings/gains mean the first pipeline improves over the comparison baseline.
ASMAG_TR_CONTROLLER_ONLINE_CALIBRATED vs ASMAG_TR_CONTROLLER,-0.02209284151468105,-0.006099007819405422,0.020781276877397836,0.0895068653704243,0.09774373261126623,-20.893559599649556,-42.177656011761314,-0.03529488938024611,Positive savings/gains mean the first pipeline improves over the comparison baseline.
ASMAG_TR_FAST vs P3_MOG2,-0.05025537311084394,-0.019094561616070926,0.14527480311245322,0.5992782321410965,0.5806573554123471,-10.745040000295056,-3.487759716105927,-0.010816884822295314,Positive savings/gains mean the first pipeline improves over the comparison baseline.
P2_FrameDiff vs P3_MOG2,-0.0931872220096075,-0.11586376460365821,0.21010403090728547,1.4505201545364308,1.3462607120627057,30.164667656851236,40.22465044597408,0.016252189424891483,Positive savings/gains mean the first pipeline improves over the comparison baseline.
P1_YOLO_Only vs P3_MOG2,-0.01684586991860959,-0.02733435159445141,-0.1911695261949593,-0.4558476309747954,-1.181557599476978,-39.05279954584402,0.2099142884308094,-0.10260096508589,Positive savings/gains mean the first pipeline improves over the comparison baseline.
