category,video,Pipeline,Event_TP,Event_TN,Event_FP,Event_FN,Event_Accuracy,Event_Precision,Event_Recall,Event_F1,MCC,TP_pixel,TN_pixel,FP_pixel,FN_pixel,Recall,Specificity,FPR,FNR,Precision,CDnet_FMeasure,PWC,avg_CPU,avg_process_cpu_percent,max_process_cpu_percent,median_CPU,avg_RAM,avg_ram_mb,max_ram_mb,avg_FPS,median_FPS,avg_latency_ms,median_latency_ms,P95_latency_ms,P99_latency_ms,Activation,processed_frames,temporal_roi_start,temporal_roi_end,evaluated_frames,skipped_frames_before_roi,warmup_frames,reused_prediction_count,reused_prediction_rate,Energy/frame,simulated_runtime_energy/frame,runtime_seconds,CPU_reduction_rate,EE_Gate_Score,mAP_50
badWeather,blizzard,P1_YOLO_Only,1574,3574,711,242,0.843796099000164,0.6888402625820569,0.8667400881057269,0.7676176542306755,0.6620455157446207,9876139,1036858784,2079441,2380380,0.8057866185333699,0.9979984940875576,0.0020015059124424,0.1942133814666301,0.8260694169584412,0.8158019674378499,0.4242621098950244,161.27575397475823,161.27575397475823,196.275,164.725,1.7465232493662088,572.3007582004999,584.40625,2.3311472695242115,2.2513745325408467,460.3318805441351,444.1730976104736,584.7251415252686,722.9137420654297,1.0,6101,900,7000,6101,899,0,0,0.0,6.200000000000002,7.886204971855461,2808.484803199768,0.0,0.843796099000164,0.3510036326023753
badWeather,skating,P1_YOLO_Only,863,0,2238,0,0.2782973234440503,0.2782973234440503,1.0,0.4354187689202825,0.0,12919285,273106988,10664767,1854391,0.8744800549301338,0.962417799474088,0.0375822005259121,0.1255199450698661,0.5477975116404933,0.6736209715027959,4.19338455727363,163.23617381489842,163.23617381489842,206.5,165.975,1.699495607712545,556.8908114317962,563.046875,4.47771490806839,4.56068677181365,232.72147558458929,219.26522254943848,324.7954845428467,444.64111328125,1.0,3101,800,3900,3101,799,0,0,0.0,6.200000000000001,7.804862545498842,721.6692957878113,0.0,0.2782973234440503,0.3112605500977566
badWeather,snowFall,P1_YOLO_Only,682,3904,927,188,0.8044202771443606,0.4238657551274083,0.7839080459770115,0.5502218636546995,0.4730100651887817,7235654,975432395,265841,521181,0.9328100958702872,0.999727537685125,0.0002724623148749,0.0671899041297127,0.964561597388254,0.948420174422758,0.0800262282647785,164.59657954744785,164.59657954744785,196.975,167.225,2.114830632269163,692.9877077486406,702.2734375,4.453275121968425,4.547154060810796,227.27115086098968,219.91777420043945,284.9841117858887,332.3538303375244,1.0,5701,800,6500,5701,799,0,0,0.0,6.200000000000002,7.87096113908528,1295.6728310585022,0.0,0.8044202771443606,0.342149406969359
badWeather,wetSnow,P1_YOLO_Only,870,82,2033,16,0.3172275908030656,0.2996899758870134,0.981941309255079,0.4592240696753761,0.0531566275776724,3892229,460263243,576368,2122634,0.6471018541901952,0.9987493089000112,0.0012506910999887,0.3528981458098048,0.871018129403927,0.7425466401359856,0.5781249083627717,166.87497500833055,166.87497500833055,200.125,167.2,2.0867521426789724,683.7869421130456,687.87109375,4.760503850897825,4.789664028393318,212.04079432870412,208.7829113006592,245.27740478515625,292.9220199584961,1.0,3001,500,3500,3001,499,0,0,0.0,6.200000000000001,7.996963668346815,636.3344237804413,0.0,0.3172275908030656,0.064969400343235
baseline,highway,P1_YOLO_Only,1219,0,0,12,0.9902518277822908,1.0,0.9902518277822908,0.9951020408163264,0.0,5336431,86131420,161291,121558,0.9777284270818428,0.9981308850060348,0.0018691149939651,0.0222715729181572,0.9706622124581782,0.9741825062745814,0.3082799368288198,168.27355808285947,168.27355808285947,200.125,168.35,2.278886095088832,746.7453956387084,748.54296875,4.778962149852135,4.744618009011179,210.98260294606683,210.7651233673096,243.0139780044556,284.88407135009766,1.0,1231,470,1700,1231,469,0,0,0.0,6.200000000000002,8.109840335783478,259.7195842266083,0.0,0.9902518277822908,0.810996233363361
baseline,office,P1_YOLO_Only,1460,0,21,0,0.9858203916272787,0.9858203916272787,1.0,0.9928595715742944,0.0,8211658,112967776,3570910,430436,0.9501930897766212,0.9693585870703914,0.0306414129296086,0.0498069102233787,0.6969327908822592,0.8040924251280144,3.196453960424276,168.72484807562458,168.72484807562458,191.875,169.325,2.3750091548870738,778.2429998733963,779.6796875,5.157163996423912,5.310542955430884,196.3937751028201,188.30466270446777,233.74509811401367,275.1795768737793,1.0,1481,570,2050,1481,569,0,0,0.0,6.2,7.971953062340602,290.8591809272766,0.0,0.9858203916272787,0.6063231020430718
baseline,pedestrians,P1_YOLO_Only,634,0,166,0,0.7925,0.7925,1.0,0.8842398884239888,0.0,622648,65404720,2151849,48214,0.9281312699184034,0.9681474498801146,0.0318525501198854,0.0718687300815965,0.2244183360082926,0.3614415798179521,3.224601846726429,168.79256249999997,168.79256249999997,197.225,169.45,2.492687225341797,816.80375,817.30078125,5.076066009372977,5.120059376239804,198.02107334136963,195.3102350234985,222.9732871055603,240.452344417572,1.0,800,300,1099,800,299,0,0,0.0,6.200000000000002,7.988314956151737,158.4168586730957,0.0,0.7925,0.4622392354987547
baseline,PETS2006,P1_YOLO_Only,896,0,0,5,0.9944506104328524,1.0,0.9944506104328524,0.9972175848636616,0.0,4374310,298322196,68391108,453880,0.9059937574950448,0.8135025174870667,0.1864974825129333,0.0940062425049552,0.0601152322109934,0.1127492357360157,18.529555678645146,167.5163984461709,167.5163984461709,190.3,168.05,2.63083723356139,862.0727533643175,865.48828125,4.557033920491337,4.707586251791593,221.6991319772803,212.42308616638184,271.0452079772949,308.4368705749512,1.0,901,300,1200,901,299,0,0,0.0,6.200000000000003,8.300384896338512,199.7509179115296,0.0,0.9944506104328524,0.3797239950178526
cameraJitter,badminton,P1_YOLO_Only,349,0,0,2,0.9943019943019944,1.0,0.9943019943019944,0.9971428571428572,0.0,3847157,114415867,1012475,251150,0.9387185977038812,0.991228540733956,0.008771459266044,0.0612814022961188,0.7916560348602528,0.8589379766930765,1.057191020221775,167.30121082621085,167.30121082621085,186.65,169.45,1.9894947693218872,651.917646011396,653.8046875,5.409757392461828,5.539550634215406,186.70186901364232,180.52005767822263,239.39979076385492,269.5190906524658,1.0,351,800,1150,351,799,0,0,0.0,6.200000000000002,8.302056189628502,65.53235602378845,0.0,0.9943019943019944,0.7220675244013859
cameraJitter,boulevard,P1_YOLO_Only,896,238,473,104,0.6627703097603741,0.6544923301680059,0.896,0.756437315322921,0.2843429998431935,4651969,87029271,24455428,838753,0.847241765290612,0.7806387045095758,0.2193612954904242,0.1527582347093879,0.159820852410815,0.2689145615112775,21.623500718155142,165.80251315020453,165.80251315020453,194.275,168.425,2.023470889469952,663.0509958540327,665.40625,5.201610397018259,5.3496387278629145,193.97817669661683,186.92851066589355,241.55139923095703,273.66347312927263,1.0,1711,790,2500,1711,789,0,0,0.0,6.200000000000003,8.203662327512344,331.8966603279114,0.0,0.6627703097603741,0.546751658577208
